id,name,wk1_points,wk2_points,wk3_points,wk4_points,wk5_points,wk6_points,wk7_points,wk8_points,wk9_points,wk10_points,wk11_points,wk12_points,wk13_points,wk14_points,wk15_points,wk16_points,wk17_points
00-0028434,D.Baldwin,6.0,4.4,16.5,5.5,3.7,,15.2,5.4,16.8,9.5,10.0,2.0,8.4,13.8,0.6,9.5,21.0
00-0028497,K.Aiken,0.3,3.1,0.9,0.4,2.2,2.1,0.8,3.3,,,,,,,,,0.2
00-0028825,T.Pryor,6.6,3.1,1.9,13.0,,2.3,1.4,,1.7,,,,,,,,
00-0029000,C.Beasley,3.2,3.3,0.4,1.7,14.3,,2.4,0.8,14.4,2.3,0.7,1.9,1.4,5.9,1.5,1.2,
00-0029137,A.Jeffery,5.8,15.2,5.6,8.9,3.1,7.1,3.7,14.2,20.4,,14.7,11.2,6.1,11.2,10.9,,0.8
00-0029159,J.Kearse,5.9,18.4,4.2,1.7,9.8,7.9,8.9,1.4,3.8,3.5,,16.5,15.7,0.4,2.8,4.2,5.9
00-0029269,T.Benjamin,10.3,1.1,11.4,2.1,3.2,0.0,10.6,13.8,,1.3,2.8,5.6,6.8,4.300000000000001,1.4,-0.4,16.0
00-0029293,M.Jones,9.7,8.7,2.4,4.2,5.4,15.6,,12.8,22.7,2.2,14.5,22.9,9.0,6.4,8.5,,
00-0029319,J.Bellamy,2.7,5.1,,3.6,,,,,,11.7,,,0.4,5.2,7.0,4.9,3.6
00-0029388,D.Thompson,1.5,11.7,0.9,4.4,0.0,,10.7,0.5,14.1,0.5,3.6,0.6,2.1,3.4,1.6,9.1,2.3
00-0029572,J.Wright,2.1,0.9,6.9,,,,5.4,,,6.7,2.3,2.5,1.8,1.3,1.1,0.8,
00-0029580,R.Matthews,7.1,4.3,14.7,4.9,3.1,6.9,4.0,,13.0,5.0,17.3,,,1.9,15.5,4.8,0.7
00-0029608,T.Hilton,3.7,4.9,21.3,3.0,17.7,1.9,2.7,1.5,29.5,2.3,,1.5,11.1,2.0,4.1,10.0,1.4
00-0029632,M.Sanu,4.7,8.5,8.8,0.7,,,6.5,13.4,8.3,2.9,9.700000000000001,12.440000000000001,4.3,14.3,2.5999999999999996,3.1,7.1
00-0029640,B.Quick,1.1,,,,,,,,4.9,,,,,0.7,,0.9,
00-0029708,K.Wright,3.4,6.9,,11.1,4.6,3.6,,2.3,,4.6,2.5,1.5,2.5,10.7,8.1,2.7,2.9
00-0030035,A.Thielen,15.7,2.4000000000000004,9.8,3.9000000000000004,4.5,9.7,4.1,15.8,,22.6,18.3,8.9,5.1,16.5,3.0,2.4,6.1
00-0030068,M.Goodwin,2.1,2.6,6.2,1.8,11.6,3.2,8.0,,6.8,16.1,,7.8,9.9,10.6,12.4,3.7,9.8
00-0030147,R.Shepard,11.3,0.6,,1.3,1.5,1.2,2.0,1.4,1.1,4.0,,,2.9,0.8,,,
00-0030279,K.Allen,9.5,10.0,6.1,13.8,6.7,4.5,4.1,6.1,,5.3999999999999995,28.2,23.2,16.5,11.1,5.4,6.3,19.3
00-0030300,Ja.Brown,0.0,7.3,8.7,10.5,3.9,3.0,3.7,,6.3,1.3,2.2,11.2,,1.5,0.9,2.7,8.5
00-0030431,R.Woods,5.3,0.8,10.8,1.7,7.3999999999999995,5.0,6.300000000000001,,19.0,29.1,8.1,,,,10.5,3.3,
00-0030516,B.Butler,3.0,1.8,15.0,7.2,5.7,,,,0.6,3.0,1.9,0.5,,,,,11.0
00-0030542,T.Williams,6.8,1.7,4.7,3.4,1.4,,,3.6,14.1,0.9,3.5,6.0,2.1,2.5,1.9,4.3,1.4
00-0030564,D.Hopkins,11.5,7.3,7.6,16.7,23.2,7.9,,28.4,14.6,11.1,13.6,12.5,8.0,24.9,14.0,12.5,
00-0030578,C.Patterson,0.7,12.299999999999999,1.2,3.5,0.0,12.0,0.9,0.7,0.0,,4.5,7.2,9.799999999999999,0.8,0.29999999999999993,0.7,0.4
00-0030669,A.Wilson,3.7,2.6,7.3999999999999995,6.8999999999999995,1.8,,12.3,,,,,9.6,2.7,7.2,1.5,3.6,14.7
00-0030670,B.Fowler,14.1,0.8,5.5,3.5,,2.1,4.5,3.5,,,1.8,9.3,2.3,,,0.0,5.6
00-0030821,A.Hurns,4.2,14.2,8.0,4.2,2.1,3.7,10.1,,3.1,7.0,,,,,,,3.8
00-0031025,M.Campanaro,0.2,0.5,1.0,2.5,0.8,2.4,5.0,,,,0.0,,0.0,0.8,1.7,9.0,3.6
00-0031051,J.Brown,4.2,,,4.7,8.6,12.3,0.6,,5.2,2.7,1.8,,,,,8.8,
00-0031060,D.Thomas,0.2,0.0,1.4,0.0,7.0,12.1,0.2,0.0,4.1,,1.1,,0.0,0.0,0.6,,0.0
00-0031068,R.Grant,6.1,7.1,3.1,7.6,,3.9,1.9,3.8,3.9,2.5,11.9,0.3,13.6,2.8,2.0,8.5,2.3
00-0031166,S.Roberts,7.9,,0.0,4.9,3.4,3.5,1.5,,2.8,,1.6,2.6,4.6,2.4,5.2,2.3,4.8
00-0031189,T.Jones,3.2,,6.3,5.3,1.2,3.3,,8.8,2.9,0.2,5.5,0.0,0.0,2.6,8.6,,
00-0031228,T.Gabriel,3.6,2.0999999999999996,13.9,,,3.9,1.9,-0.3,5.8999999999999995,7.3,0.7,1.6,1.1,1.9,1.9000000000000001,3.2,
00-0031236,B.Cooks,8.8,4.3,27.1,4.2,8.5,9.3,12.5,2.6,,7.4,20.9,15.4,2.2,3.8,12.0,2.5,14.700000000000001
00-0031257,P.Richardson,5.9,7.9,9.0,6.5,3.5,,12.1,22.5,4.1,4.3,5.6,7.0,0.8,13.2,1.8,2.1,
00-0031315,M.Hazel,0.1,,,,,,,,,,,,,,,,
00-0031325,S.Watkins,5.8,3.0,22.6,1.7,,1.1,4.2,,12.7,10.1,3.6,14.2,9.8,8.1,1.4,9.0,
00-0031339,D.Moncrief,5.0,1.8,4.4,9.0,3.2,6.7,3.0,,0.7,12.0,,1.6,3.7,,,,
00-0031344,C.Latimer,0.0,2.2,0.0,,,,,1.5,5.1,2.8,2.1,10.8,0.5,3.7,14.0,,
00-0031359,K.Benjamin,2.5,7.7,0.8,10.4,11.8,9.9,6.5,9.9,,4.2,2.0,,,9.8,2.0,7.0,2.7
00-0031373,M.Bryant,1.4,15.799999999999999,3.0,4.8,3.4000000000000004,2.7,0.5,,,5.3,3.0,10.1,4.0,3.3,11.9,6.8,6.5
00-0031381,D.Adams,4.7,15.9,6.0,7.3,18.6,11.4,1.2,,5.3,15.0,12.6,14.2,4.2,20.4,11.7,,
00-0031428,A.Robinson,1.7,,,,,,,,,,,,,,,,
00-0031431,M.Lee,0.0,7.6,6.5,1.8,4.9,10.0,7.2,,13.5,13.5,4.5,1.3,14.6,6.5,,,
00-0031514,Q.Bray,0.0,0.0,2.2,0.0,0.0,0.0,1.7,0.0,0.0,,,,,,,,
00-0031544,A.Cooper,12.2,3.3,0.6,0.9,0.8,2.8,33.0,5.2,5.8,,8.8,6.9,,,,12.6,17.5
00-0031545,K.White,0.6,,,,,,,,,,,,,,,,
00-0031549,N.Agholor,14.6,6.9,2.0,5.8,15.3,11.5,10.5,2.6,3.6,,-0.2,9.2,20.1,6.4,11.9,3.5,1.8
00-0031588,S.Diggs,20.7,3.1,29.3,9.8,0.4,,,2.6,,13.8,3.2,7.5,3.7,6.4,9.7,12.3,11.7
00-0031782,E.Rogers,1.1,4.3,-2.0,,,,1.0,,,0.2,,2.1,0.4,3.3,7.8,0.6,0.1
00-0031941,J.Crowder,-0.6000000000000001,4.7,3.2,-0.7,,2.6,3.0999999999999996,13.5,,8.1,7.6000000000000005,20.1,4.7,3.4,11.5,10.7,2.4
00-0032054,B.Perriman,0.5,,,0.6,1.5,,,,2.8,,,,,,0.9,1.4,
00-0032055,D.Funchess,2.0,6.8,5.8,19.0,11.3,3.6,4.1,1.1,8.6,21.2,,10.8,12.0,11.9,1.9,1.1,10.8
00-0032112,J.Nelson,10.3,18.0,,3.4,7.4,1.6,3.5,,1.5,1.7,1.4,1.4,4.2,2.6,5.3,,1.8
00-0032128,C.Conley,4.3,5.5,,3.1,4.6,,,,,,,,,,,,
00-0032160,Ty.Williams,5.4,5.4,1.5,17.5,2.2,0.7000000000000002,1.1,2.4,,4.9,1.1,11.8,0.8,19.2,3.1,5.0,12.7
00-0032211,T.Lockett,0.8,6.4,3.0,9.1,3.3,,4.4,11.9,1.0,1.6,3.7,0.2,7.7,16.0,0.8,0.8999999999999999,2.5
00-0032385,S.Shepard,5.0,3.0,19.3,5.4,0.9,,,,7.0,14.2,,,5.6,0.7000000000000001,19.9,4.5,
00-0032423,T.Davis,0.0,0.9,0.0,0.0,,0.0,0.0,,1.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,5.6
00-0032464,K.Raymond,0.0,-2.0,,,,,,,,,1.0999999999999999,0.0,0.0,0.0,0.0,,0.0
00-0032543,A.Erickson,0.0,6.4,0.0,0.0,0.6,,2.2,-0.6000000000000001,0.0,1.0,10.2,1.8,0.0,0.9,1.1,0.0,0.0
00-0032659,R.Lewis,5.4,1.3,0.6,,8.9,1.5,1.2,,0.4,9.3,5.5,2.6,0.9,4.6,7.4,4.0,
00-0032688,R.Anderson,2.2,2.8,15.5,5.9,1.6,7.6,9.5,16.5,10.8,14.5,,26.6,11.399999999999999,2.7,4.0,5.1,0.30000000000000004
00-0032765,M.Thomas,4.5,8.9,14.7,14.9,,1.1,8.2,7.7,6.5,11.7,9.1,5.2,13.0,17.7,15.3,6.6,9.4
00-0032881,T.Lewis,5.2,1.6,2.3,0.1,,,0.0,0.0,0.0,,0.0,,0.2,9.0,0.6,0.0,-2.0
00-0032951,L.Treadwell,0.7,3.3,0.2,,,5.1,2.8,2.1,,,1.0,,0.9,2.3,,,1.6
00-0032966,C.Coleman,11.3,0.9,,,,,,,,,8.0,6.4,,12.2,1.6,0.3,1.8
00-0033009,T.Boyd,1.1,,1.1,1.5,0.6,,,,,,0.5,7.7,1.5,1.5,,3.9,15.1
00-0033040,T.Hill,19.8,4.8999999999999995,15.0,3.5,6.8,2.5,19.2,1.7999999999999998,13.3,,8.4,5.3999999999999995,30.5,7.5,14.8,10.8,
00-0033079,R.Louis,3.2,2.7,1.0,6.4,7.1,2.5,2.1,4.2,,1.5,1.5,,,,,3.5,
00-0033111,P.Cooper,0.0,0.0,-1.6,0.0,2.2,0.0,0.0,,0.9,1.2,0.0,0.9,0.3,0.1,0.0,0.0,3.0
00-0033292,T.Taylor,0.8,0.6,9.2,4.7,0.6,1.1,1.9,3.3,2.2,,,3.5,9.2,1.1,4.0,7.9,2.9
00-0033466,I.McKenzie,0.0,0.0,0.4,0.0,,0.0,,-2.0,1.4,-2.0,,,0.0,,,0.8,0.7
00-0033562,R.Switzer,0.0,0.0,0.3,-1.7,0.0,,0.5,0.7,0.0,0.0,0.0,-0.4,0.0,0.0,0.0,0.0,3.2
00-0033857,J.Smith-Schuster,0.0,7.6,3.9,10.7,5.8,3.2,9.9,25.3,,15.7,4.7,,1.7,,11.4,13.5,20.3
00-0033871,C.Davis,6.9,0.4,,,,,,,2.8,2.8,2.7,3.9,1.2,2.9,2.8,9.1,
00-0033891,Z.Jones,2.1,1.8,,1.8,0.9,,1.7,3.2,11.3,,6.8,9.3,2.2,,,,2.5
00-0033908,C.Kupp,13.6,3.3,1.7,12.0,4.4,3.5,11.1,,5.4,4.7,4.4,11.6,6.8,17.8,2.1,12.5,
00-0033911,T.Taylor,1.4,5.800000000000001,1.5,0.6,0.5,12.1,4.5,,-0.4,3.8,,0.8,1.5,,0.8,,0.5
00-0033916,A.Stewart,1.0,,2.4,0.0,1.2,0.8,0.0,,0.0,0.4,,,0.5,,,,4.6
00-0033932,K.Golladay,18.9,0.8,2.5,,,,,,,6.4,5.2,6.1,4.4,2.6,2.9,2.8,14.0
